src,dst
14876672,14683518
14876672,23152989
14876672,293353298
14876672,29514951
14876672,19049747
14876672,16894839
14876672,1065921
14876672,7861312
14876672,16626187
14876672,3359851
14876672,20661527
14876672,16098603
14876672,17037417
14876672,813286
14876672,19279990
14876672,139162440
14876672,22027186
14876672,111164068
14876672,22784458
14876672,101903164
14876672,131601987
14876672,204089551
14876672,42047882
14876672,101633415
14876672,16150457
14876672,50557241
14876672,15343773
14876672,15643370
14876672,179278975
14876672,23390284
14876672,42164376
14876672,20747847
14876672,159629146
14876672,21158690
14876672,18963070
14876672,16908436
14876672,22643137
14876672,10350
14876672,4893411
14876672,7081402
123879425,12611642
123879425,14290689
123879425,15294801
123879425,3829151
123879425,243902744
123879425,80976653
123879425,165779466
123879425,783214
123879425,19480006
123879425,756278
123879425,15128907
123879425,364011878
123879425,180505807
123879425,114895627
123879425,8039442
123879425,48024605
123879425,10228272
123879425,451905071
123879425,2154171
123879425,103365202
123879425,43849871
123879425,15661911
123879425,17378488
123879425,9726632
123879425,19210250
123879425,64508047
123879425,14372486
123879425,14228488
123879425,114043408
123879425,2904691
123879425,26597332
123879425,14803701
123879425,90998968
123879425,20536157
123879425,15858135
123879425,769101
123879425,16607904
123879425,167688372
123879425,23255992
24190981,58462957
24190981,44084633
24190981,19148708
24190981,24599923
24190981,141598384
24190981,280629993
24190981,27157089
24190981,14399483
24190981,7092102
24190981,37212984
24190981,20506424
24190981,105189289
24190981,29247964
24190981,19390810
24190981,23139845
24190981,15515919
24190981,21401466
24190981,88049417
24190981,14575107
24190981,33402909
24190981,1879831
24190981,21683202
24190981,30180137
24190981,71956658
24190981,8936082
24190981,33644693
24190981,19546942
24190981,21208444
24190981,142690048
24190981,37046756
24190981,9917552
24190981,26683141
24190981,98942778
24190981,19923638
24190981,15162193
24190981,14415108
24190981,90720074
24190981,109702885
24190981,50680206
24190981,34211097
24190981,18481641
24190981,18307364
24190981,164374216
24190981,31119337
24190981,19660870
24190981,54890813
24190981,14791162
24190981,28357463
24190981,19399719
24190981,32138488
24190981,27907782
24190981,28635233
24190981,64498671
24190981,41338503
24190981,20908109
24190981,20452058
24190981,45669119
24190981,40071081
24190981,18462729
24190981,16271952
24190981,87821661
24190981,24289021
24190981,15933910
24190981,16813989
24190981,14934818
24190981,17909306
24190981,48358776
24190981,73129083
24190981,26033281
24190981,28384755
24190981,57249277
24190981,21279256
24190981,15934926
24190981,21627660
24190981,34947001
24190981,39601084
24190981,250911289
24190981,44682832
24190981,112593696
24190981,35895696
24190981,34373923
24190981,41894068
24190981,19784831
24190981,38190358
24190981,20863936
24190981,26042520
24190981,46678012
24190981,43137449
24190981,41182951
24190981,9541782
24190981,36451558
24190981,25007375
24190981,16929349
24190981,16890261
24190981,20177423
24190981,17771860
24190981,19568471
24190981,283536837
24190981,30938926
24190981,82178374
24190981,24216951
24190981,14288822
24190981,25100180
24190981,29123186
24190981,153474021
24190981,50687788
24190981,18462157
24190981,96184837
24190981,112521116
24190981,56814021
24190981,59624844
24190981,26250338
24190981,19028615
24190981,13018112
24190981,18462653
24190981,304649218
24190981,30704824
24190981,39839316
24190981,92679158
24190981,24047612
24190981,30663428
24190981,131014445
24190981,60649803
24190981,15460081
24190981,22440364
24190981,19383317
24190981,22592948
24190981,34507480
24190981,58309829
24190981,33473521
244719623,211670208
244719623,112819301
244719623,143838260
244719623,15460081
244719623,25970331
244719623,421412483
244719623,325054079
244719623,102765423
19210250,3829151
19210250,64508047
19210250,2154171
209805326,149680650
209805326,137156454
209805326,283306479
209805326,40974224
209805326,189898898
209805326,40981798
209805326,248108296
209805326,97057975
209805326,131537442
209805326,88097807
209805326,81704742
209805326,262340283
209805326,43003845
209805326,131294912
209805326,85716069
209805326,86173523
209805326,203741612
209805326,187773078
209805326,200214366
209805326,99712896
209805326,22462180
209805326,251261925
209805326,317967511
209805326,34428380
236560399,286413188
236560399,50393960
236560399,19131178
236560399,14071996
236560399,14284680
236560399,291861552
236560399,20536157
123371537,16674726
123371537,159223855
123371537,282447785
123371537,64455099
123371537,36629388
123371537,25026165
123371537,14983833
123371537,22705686
123371537,132834166
123371537,25473689
123371537,21681252
123371537,127973392
123371537,30694402
123371537,25376226
123371537,94414805
123371537,7860742
123371537,18581803
93904918,24044209
93904918,17861062
93904918,5490392
105766934,144751388
105766934,17681513
105766934,16425197
105766934,10228272
105766934,15131310
105766934,15128907
